Brand,Color Name,Hex,Finish
Gaoy,1001,#060606,Glossy
Gaoy,1604,#111C2D,Glossy
Gaoy,1589,#948F8C,Glossy
Gaoy,1577,#B1B2BD,Glossy
Gaoy,1588,#363C67,Glossy
Gaoy,1580,#363C67,Glossy
Gaoy,1579,#559BF5,Glossy
Gaoy,1593,#ACCDEC,Glossy
Gaoy,1587,#B4DDF1,Glossy
Gaoy,1575,#E55F33,Glossy
Gaoy,1583,#E37F2E,Glossy
Gaoy,1591,#F0CB59,Glossy
Gaoy,1102,#F8D788,Glossy
Gaoy,1576,#F8F7D8,Glossy
Gaoy,1585,#BCCF72,Glossy
Gaoy,1592,#39551C,Glossy
Gaoy,1578,#BFA5ED,Glossy
Gaoy,1595,#7C67BE,Glossy
Gaoy,1603,#5E4583,Glossy
Gaoy,1584,#BB9737,Glossy
Gaoy,1598,#AA6C30,Glossy
Gaoy,1596,#8D4823,Glossy
Gaoy,1602,#570E07,Glossy
Gaoy,1586,#89190F,Glossy
Gaoy,1581,#A33D23,Glossy
Gaoy,1600,#A6413C,Glossy
Gaoy,1574,#B23728,Glossy
Gaoy,1527,#E7428F,Glossy
Gaoy,1601,#743E66,Glossy
Gaoy,1482,#D8DADD,Glossy
Gaoy,1301,#DBAB9D,Glossy
Gaoy,1590,#EDEFF4,Glossy
Gaoy,1597,#D8CAC0,Glossy
Gaoy,1599,#E9C8C1,Glossy
Gaoy,1582,#DCBDA3,Glossy
Gaoy,1407,#BF8393,Glossy
Gaoy,1594,#D5ACAB,Glossy
Gaoy,1032,#EEC8E2,Glossy
Gaoy,1605,#CE6D8E,Glossy
Canni,Light Blue,#A5CBF3,Glossy
Canni,Vibrant Red,#CE2C2C,Glossy
Canni,Sunshine Yellow,#F8DA6F,Glossy
Canni,Pastel Pink,#F7E7F0,Glossy
Canni,Raspberry,#BE3762,Glossy
Canni,Light Lavender,#D4CAE7,Glossy
Canni,Flaming Orange,#E98347,Glossy
Canni,Neutral Pink,#E1A2C7,Glossy
Beetles,White Liner,#FFFFFF,Glossy 
Beetles,Black Liner,#000000,Glossy
Born Pretty,Gel 6,#F3ADB0,Jelly
Born Pretty,Gel 5,#EEB5BE,Jelly
Born Pretty,Gel 4,#FBE1EC,Jelly
Born Pretty,Gel 3,#F7D7E4,Jelly
Born Pretty,Gel 2,#FAE7F3,Jelly
Born Pretty,Gel 1,#FEF3F9,Jelly
Nail Markers,Red,#BD3336,Matte
Nail Markers,Orange,#F09754,Matte
Nail Markers,Yellow,#F9E44B,Matte
Nail Markers,Pale Yellow,#F4F8D5,Matte
Nail Markers,Bright Blue,#3D8BE6,Matte
Nail Markers,Green Grass,#53B672,Matte
Nail Markers,Purple,#B888D4,Matte
Nail Markers,Pink,#F2A7D6,Matte
Nail Markers,Gold,#CCC050,Matte
Nail Markers,Silver,#A7ACC4,Matte
Nail Markers,Black,#121212,Matte
Nail Markers,White,#FFFFFF,Matte
Cateye,Silver,#CFD2D3,Cateye
Cateye,Pink,#EFB0C3,Cateye
